areaType,areaName,areaCode,date,hospitalCases
overview,United Kingdom,K02000001,2021-07-10,3037
overview,United Kingdom,K02000001,2021-07-09,2940
overview,United Kingdom,K02000001,2021-07-08,2769
overview,United Kingdom,K02000001,2021-07-07,2682
overview,United Kingdom,K02000001,2021-07-06,2487
overview,United Kingdom,K02000001,2021-07-05,2365
overview,United Kingdom,K02000001,2021-07-04,2179
overview,United Kingdom,K02000001,2021-07-03,2059
overview,United Kingdom,K02000001,2021-07-02,2015
overview,United Kingdom,K02000001,2021-07-01,1938
overview,United Kingdom,K02000001,2021-06-30,1828
overview,United Kingdom,K02000001,2021-06-29,1749
overview,United Kingdom,K02000001,2021-06-28,1746
overview,United Kingdom,K02000001,2021-06-27,1608
overview,United Kingdom,K02000001,2021-06-26,1547
overview,United Kingdom,K02000001,2021-06-25,1540
overview,United Kingdom,K02000001,2021-06-24,1519
overview,United Kingdom,K02000001,2021-06-23,1498
overview,United Kingdom,K02000001,2021-06-22,1544
overview,United Kingdom,K02000001,2021-06-21,1520
overview,United Kingdom,K02000001,2021-06-20,1386
overview,United Kingdom,K02000001,2021-06-19,1351
overview,United Kingdom,K02000001,2021-06-18,1366
overview,United Kingdom,K02000001,2021-06-17,1324
overview,United Kingdom,K02000001,2021-06-16,1259
overview,United Kingdom,K02000001,2021-06-15,1234
overview,United Kingdom,K02000001,2021-06-14,1183
overview,United Kingdom,K02000001,2021-06-13,1142
overview,United Kingdom,K02000001,2021-06-12,1107
overview,United Kingdom,K02000001,2021-06-11,1078
overview,United Kingdom,K02000001,2021-06-10,1096
overview,United Kingdom,K02000001,2021-06-09,1065
overview,United Kingdom,K02000001,2021-06-08,1058
overview,United Kingdom,K02000001,2021-06-07,1036
overview,United Kingdom,K02000001,2021-06-06,965
overview,United Kingdom,K02000001,2021-06-05,939
overview,United Kingdom,K02000001,2021-06-04,966
overview,United Kingdom,K02000001,2021-06-03,939
overview,United Kingdom,K02000001,2021-06-02,962
overview,United Kingdom,K02000001,2021-06-01,931
overview,United Kingdom,K02000001,2021-05-31,930
overview,United Kingdom,K02000001,2021-05-30,908
overview,United Kingdom,K02000001,2021-05-29,888
overview,United Kingdom,K02000001,2021-05-28,887
overview,United Kingdom,K02000001,2021-05-27,873
overview,United Kingdom,K02000001,2021-05-26,896
overview,United Kingdom,K02000001,2021-05-25,922
overview,United Kingdom,K02000001,2021-05-24,961
overview,United Kingdom,K02000001,2021-05-23,925
overview,United Kingdom,K02000001,2021-05-22,888
overview,United Kingdom,K02000001,2021-05-21,923
overview,United Kingdom,K02000001,2021-05-20,913
overview,United Kingdom,K02000001,2021-05-19,919
overview,United Kingdom,K02000001,2021-05-18,900
overview,United Kingdom,K02000001,2021-05-17,945
overview,United Kingdom,K02000001,2021-05-16,943
overview,United Kingdom,K02000001,2021-05-15,968
overview,United Kingdom,K02000001,2021-05-14,978
overview,United Kingdom,K02000001,2021-05-13,1003
overview,United Kingdom,K02000001,2021-05-12,1070
overview,United Kingdom,K02000001,2021-05-11,1107
overview,United Kingdom,K02000001,2021-05-10,1130
overview,United Kingdom,K02000001,2021-05-09,1119
overview,United Kingdom,K02000001,2021-05-08,1138
overview,United Kingdom,K02000001,2021-05-07,1158
overview,United Kingdom,K02000001,2021-05-06,1160
overview,United Kingdom,K02000001,2021-05-05,1240
overview,United Kingdom,K02000001,2021-05-04,1296
overview,United Kingdom,K02000001,2021-05-03,1304
overview,United Kingdom,K02000001,2021-05-02,1286
overview,United Kingdom,K02000001,2021-05-01,1288
overview,United Kingdom,K02000001,2021-04-30,1367
overview,United Kingdom,K02000001,2021-04-29,1465
overview,United Kingdom,K02000001,2021-04-28,1516
overview,United Kingdom,K02000001,2021-04-27,1573
overview,United Kingdom,K02000001,2021-04-26,1650
overview,United Kingdom,K02000001,2021-04-25,1627
overview,United Kingdom,K02000001,2021-04-24,1674
overview,United Kingdom,K02000001,2021-04-23,1750
overview,United Kingdom,K02000001,2021-04-22,1792
overview,United Kingdom,K02000001,2021-04-21,1894
overview,United Kingdom,K02000001,2021-04-20,1927
overview,United Kingdom,K02000001,2021-04-19,2008
overview,United Kingdom,K02000001,2021-04-18,1984
overview,United Kingdom,K02000001,2021-04-17,2036
overview,United Kingdom,K02000001,2021-04-16,2141
